CentroidsX_mm,CentroidsY_mm,x_relative_pos_mm,y_relative_pos_mm,calib_x_pos_mm,calib_y_pos_mm,calib_z_pos_mm,y_offset_to_fluor_mm,name
0.0,-41.896,34.8475,-20.948,-43.75,-28.5,-91.0,87.75,h1
0.0,-35.9109,34.8475,-14.9629,0.0,0.0,0,0.0,g1
0.0,-29.9257,34.8475,-8.9777,0.0,0.0,0,0.0,f1
0.0,-23.9406,34.8475,-2.9926,0.0,0.0,0,0.0,e1
0.0,-17.9554,34.8475,2.9926,0.0,0.0,0,0.0,d1
0.0,-11.9703,34.8475,8.9777,0.0,0.0,0,0.0,c1
0.0,-5.9851,34.8475,14.9629,0.0,0.0,0,0.0,b1
0.0,0.0,34.8475,20.948,0.0,0.0,0,0.0,a1
-6.3359,-41.896,28.5116,-20.948,0.0,0.0,0,0.0,h2
-6.3359,-35.9109,28.5116,-14.9629,0.0,0.0,0,0.0,g2
-6.3359,-29.9257,28.5116,-8.9777,0.0,0.0,0,0.0,f2
-6.3359,-23.9406,28.5116,-2.9926,0.0,0.0,0,0.0,e2
-6.3359,-17.9554,28.5116,2.9926,0.0,0.0,0,0.0,d2
-6.3359,-11.9703,28.5116,8.9777,0.0,0.0,0,0.0,c2
-6.3359,-5.9851,28.5116,14.9629,0.0,0.0,0,0.0,b2
-6.3359,0.0,28.5116,20.948,0.0,0.0,0,0.0,a2
-12.6718,-41.896,22.1757,-20.948,0.0,0.0,0,0.0,h3
-12.6718,-35.9109,22.1757,-14.9629,0.0,0.0,0,0.0,g3
-12.6718,-29.9257,22.1757,-8.9777,0.0,0.0,0,0.0,f3
-12.6718,-23.9406,22.1757,-2.9926,0.0,0.0,0,0.0,e3
-12.6718,-17.9554,22.1757,2.9926,0.0,0.0,0,0.0,d3
-12.6718,-11.9703,22.1757,8.9777,0.0,0.0,0,0.0,c3
-12.6718,-5.9851,22.1757,14.9629,0.0,0.0,0,0.0,b3
-12.6718,0.0,22.1757,20.948,0.0,0.0,0,0.0,a3
-19.0077,-41.896,15.8398,-20.948,0.0,0.0,0,0.0,h4
-19.0077,-35.9109,15.8398,-14.9629,0.0,0.0,0,0.0,g4
-19.0077,-29.9257,15.8398,-8.9777,0.0,0.0,0,0.0,f4
-19.0077,-23.9406,15.8398,-2.9926,0.0,0.0,0,0.0,e4
-19.0077,-17.9554,15.8398,2.9926,0.0,0.0,0,0.0,d4
-19.0077,-11.9703,15.8398,8.9777,0.0,0.0,0,0.0,c4
-19.0077,-5.9851,15.8398,14.9629,0.0,0.0,0,0.0,b4
-19.0077,0.0,15.8398,20.948,0.0,0.0,0,0.0,a4
-25.3436,-41.896,9.5039,-20.948,0.0,0.0,0,0.0,h5
-25.3436,-35.9109,9.5039,-14.9629,0.0,0.0,0,0.0,g5
-25.3436,-29.9257,9.5039,-8.9777,0.0,0.0,0,0.0,f5
-25.3436,-23.9406,9.5039,-2.9926,0.0,0.0,0,0.0,e5
-25.3436,-17.9554,9.5039,2.9926,0.0,0.0,0,0.0,d5
-25.3436,-11.9703,9.5039,8.9777,0.0,0.0,0,0.0,c5
-25.3436,-5.9851,9.5039,14.9629,0.0,0.0,0,0.0,b5
-25.3436,0.0,9.5039,20.948,0.0,0.0,0,0.0,a5
-31.6795,-41.896,3.168,-20.948,0.0,0.0,0,0.0,h6
-31.6795,-35.9109,3.168,-14.9629,0.0,0.0,0,0.0,g6
-31.6795,-29.9257,3.168,-8.9777,0.0,0.0,0,0.0,f6
-31.6795,-23.9406,3.168,-2.9926,0.0,0.0,0,0.0,e6
-31.6795,-17.9554,3.168,2.9926,0.0,0.0,0,0.0,d6
-31.6795,-11.9703,3.168,8.9777,0.0,0.0,0,0.0,c6
-31.6795,-5.9851,3.168,14.9629,0.0,0.0,0,0.0,b6
-31.6795,0.0,3.168,20.948,0.0,0.0,0,0.0,a6
-38.0155,-41.896,-3.168,-20.948,0.0,0.0,0,0.0,h7
-38.0155,-35.9109,-3.168,-14.9629,0.0,0.0,0,0.0,g7
-38.0155,-29.9257,-3.168,-8.9777,0.0,0.0,0,0.0,f7
-38.0155,-23.9406,-3.168,-2.9926,0.0,0.0,0,0.0,e7
-38.0155,-17.9554,-3.168,2.9926,0.0,0.0,0,0.0,d7
-38.0155,-11.9703,-3.168,8.9777,0.0,0.0,0,0.0,c7
-38.0155,-5.9851,-3.168,14.9629,0.0,0.0,0,0.0,b7
-38.0155,0.0,-3.168,20.948,0.0,0.0,0,0.0,a7
-44.3514,-41.896,-9.5039,-20.948,0.0,0.0,0,0.0,h8
-44.3514,-35.9109,-9.5039,-14.9629,0.0,0.0,0,0.0,g8
-44.3514,-29.9257,-9.5039,-8.9777,0.0,0.0,0,0.0,f8
-44.3514,-23.9406,-9.5039,-2.9926,0.0,0.0,0,0.0,e8
-44.3514,-17.9554,-9.5039,2.9926,0.0,0.0,0,0.0,d8
-44.3514,-11.9703,-9.5039,8.9777,0.0,0.0,0,0.0,c8
-44.3514,-5.9851,-9.5039,14.9629,0.0,0.0,0,0.0,b8
-44.3514,0.0,-9.5039,20.948,0.0,0.0,0,0.0,a8
-50.6873,-41.896,-15.8398,-20.948,0.0,0.0,0,0.0,h9
-50.6873,-35.9109,-15.8398,-14.9629,0.0,0.0,0,0.0,g9
-50.6873,-29.9257,-15.8398,-8.9777,0.0,0.0,0,0.0,f9
-50.6873,-23.9406,-15.8398,-2.9926,0.0,0.0,0,0.0,e9
-50.6873,-17.9554,-15.8398,2.9926,0.0,0.0,0,0.0,d9
-50.6873,-11.9703,-15.8398,8.9777,0.0,0.0,0,0.0,c9
-50.6873,-5.9851,-15.8398,14.9629,0.0,0.0,0,0.0,b9
-50.6873,0.0,-15.8398,20.948,0.0,0.0,0,0.0,a9
-57.0232,-41.896,-22.1757,-20.948,0.0,0.0,0,0.0,h10
-57.0232,-35.9109,-22.1757,-14.9629,0.0,0.0,0,0.0,g10
-57.0232,-29.9257,-22.1757,-8.9777,0.0,0.0,0,0.0,f10
-57.0232,-23.9406,-22.1757,-2.9926,0.0,0.0,0,0.0,e10
-57.0232,-17.9554,-22.1757,2.9926,0.0,0.0,0,0.0,d10
-57.0232,-11.9703,-22.1757,8.9777,0.0,0.0,0,0.0,c10
-57.0232,-5.9851,-22.1757,14.9629,0.0,0.0,0,0.0,b10
